game_id,side_id,team_id,opponent_id,fgm,fga,tpm,tpa,ftm,fta,pts,oreb,dreb,reb,ast,stl,tov,blk,pf,player_id,enthusiasm_rating,pir
20190822-2100-rockets-burritos,0,rockets,burritos,5,13,0,2,1,2,11,3,3,6,1,2,4,0,3,rockets-marc,31,4
20190822-2100-rockets-burritos,0,rockets,burritos,0,3,0,0,0,0,0,1,2,3,0,1,2,0,0,rockets-patricia,9,-1
20190822-2100-rockets-burritos,0,rockets,burritos,2,9,0,0,0,1,4,1,4,5,0,1,2,1,6,rockets-paul,25,-5
20190822-2100-rockets-burritos,0,rockets,burritos,3,7,0,0,0,0,6,4,5,9,0,0,2,1,3,rockets-thriston,22,7
20190822-2100-rockets-burritos,1,burritos,rockets,4,9,1,3,5,5,14,0,3,3,1,2,0,0,0,burritos-alex,20,15
20190822-2100-rockets-burritos,1,burritos,rockets,1,2,0,0,0,0,2,0,2,2,0,0,0,0,0,burritos-allen,4,3
20190822-2100-rockets-burritos,1,burritos,rockets,1,6,0,4,2,2,4,1,2,3,4,4,3,0,1,burritos-tom,23,6
20190822-2100-rockets-burritos,1,burritos,rockets,3,11,0,0,9,16,15,2,7,9,1,1,2,0,3,burritos-wouter,43,6
20190822-2100-rockets-burritos,1,burritos,rockets,2,7,0,0,0,0,4,0,0,0,0,2,4,0,1,lostangels-carlotta,14,-4
20190822-2100-rockets-burritos,1,burritos,rockets,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,lostangels-sophie,4,2
20190822-2100-rockets-burritos,1,burritos,rockets,1,2,0,0,0,0,2,0,3,3,0,1,1,0,0,timekeeper-naomi,7,4
20190829-1845-rockets-dropbears,0,rockets,dropbears,2,5,0,0,1,2,5,0,1,1,1,2,0,0,2,rockets-alex,13,3
20190829-1845-rockets-dropbears,0,rockets,dropbears,1,7,0,0,0,0,2,3,1,4,1,0,1,1,1,rockets-anna,15,0
20190829-1845-rockets-dropbears,0,rockets,dropbears,7,16,0,2,0,1,14,2,5,7,1,3,1,0,3,rockets-darnell,32,11
20190829-1845-rockets-dropbears,0,rockets,dropbears,4,11,2,5,2,4,12,2,7,9,4,5,4,0,0,rockets-janis,37,17
20190829-1845-rockets-dropbears,0,rockets,dropbears,0,3,0,0,0,0,0,0,1,1,2,0,1,0,0,rockets-patricia,7,-1
20190829-1845-rockets-dropbears,0,rockets,dropbears,1,6,0,0,2,2,4,2,1,3,5,5,3,0,1,rockets-paul,25,8
20190829-1845-rockets-dropbears,0,rockets,dropbears,4,8,0,0,0,0,8,3,10,13,1,2,2,1,3,rockets-thriston,30,16
20190829-1845-rockets-dropbears,1,dropbears,rockets,1,3,0,2,0,0,2,1,3,4,0,2,0,0,0,burritos-tom,9,6
20190829-1845-rockets-dropbears,1,dropbears,rockets,2,5,0,0,1,2,5,0,2,2,0,2,2,0,0,dropbears-ed,13,3
20190829-1845-rockets-dropbears,1,dropbears,rockets,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,dropbears-hayley,2,-2
20190829-1845-rockets-dropbears,1,dropbears,rockets,0,3,0,0,0,0,0,0,3,3,0,0,4,0,1,dropbears-jordan,11,-5
20190829-1845-rockets-dropbears,1,dropbears,rockets,5,8,1,1,0,0,11,3,7,10,0,1,3,0,5,dropbears-martin,27,11
20190829-1845-rockets-dropbears,1,dropbears,rockets,0,13,0,5,0,0,0,1,0,1,0,1,6,0,0,dropbears-mary,21,-17
20190829-1845-rockets-dropbears,1,dropbears,rockets,2,5,0,1,5,7,9,2,8,10,1,4,2,1,2,dropbears-ray,32,16
20190829-1845-rockets-dropbears,1,dropbears,rockets,0,7,0,2,0,0,0,0,2,2,0,1,3,0,0,lions-mychelle,13,-7
20190829-2015-burritos-camdenhells,0,burritos,camdenhells,9,14,4,5,0,0,22,0,7,7,6,2,2,0,1,burritos-alex,32,29
20190829-2015-burritos-camdenhells,0,burritos,camdenhells,1,1,0,0,1,2,3,0,2,2,0,0,2,0,0,burritos-armelle,7,2
20190829-2015-burritos-camdenhells,0,burritos,camdenhells,2,9,0,3,2,2,6,2,7,9,2,1,2,0,0,burritos-stuart,25,9
20190829-2015-burritos-camdenhells,0,burritos,camdenhells,4,8,0,0,0,0,8,0,0,0,1,1,0,0,0,burritos-sylwia,10,6
20190829-2015-burritos-camdenhells,0,burritos,camdenhells,5,5,4,4,2,2,16,0,5,5,10,2,5,0,1,burritos-tom,30,27
20190829-2015-burritos-camdenhells,0,burritos,camdenhells,3,10,1,4,0,0,7,1,0,1,2,1,0,0,0,dropbears-mary,14,4
20190829-2015-burritos-camdenhells,0,burritos,camdenhells,4,7,1,1,0,0,9,1,4,5,1,1,0,0,1,greenmachine-ahmed,15,12
20190829-2015-burritos-camdenhells,1,camdenhells,burritos,4,11,1,4,1,2,10,1,4,5,7,1,2,0,1,camdenhells-davidgalindo,29,12
20190829-2015-burritos-camdenhells,1,camdenhells,burritos,3,6,0,0,0,0,6,0,1,1,2,0,3,0,1,camdenhells-lauren,13,2
20190829-2015-burritos-camdenhells,1,camdenhells,burritos,4,11,0,0,0,0,8,1,3,4,2,2,1,0,1,camdenhells-nick,21,7
20190829-2015-burritos-camdenhells,1,camdenhells,burritos,2,7,0,1,0,0,4,1,2,3,2,3,3,0,0,camdenhells-sean,18,4
20190829-2015-burritos-camdenhells,1,camdenhells,burritos,2,7,0,0,0,0,4,2,5,7,1,2,1,3,1,lions-gus,22,10
20190829-2015-burritos-camdenhells,1,camdenhells,burritos,6,7,0,0,0,0,12,0,4,4,0,0,0,0,1,lostangels-sophie,12,14
