player_id,team_id,num_games,pts,avg_pts,fgm,fga,fg%,avg_fgm,avg_fga,3pm,3pa,3p%,avg_3pm,avg_3pa,2pm,2pa,2p%,avg_2pm,avg_2pa,ftm,fta,ft%,avg_ftm,avg_fta,oreb,dreb,reb,avg_oreb,avg_dreb,avg_reb,ast,avg_ast,stl,avg_stl,tov,avg_tov,blk,avg_blk,pf,avg_pf,pir,avg_pir
greenmachine-allison,greenmachine,4,4,1.0,2,7,0.285714285714286,0.5,1.75,0,1,0.0,0.0,0.25,2,6,0.333333333333333,0.5,1.5,0,0,,0.0,0.0,1,4,5,0.25,1.0,1.25,2,0.5,0,0.0,7,1.75,0,0.0,1,0.25,-2,-0.5
greenmachine-andris,greenmachine,2,16,8.0,8,17,0.470588235294118,4.0,8.5,0,0,,0.0,0.0,8,17,0.470588235294118,4.0,8.5,0,0,,0.0,0.0,1,3,4,0.5,1.5,2.0,5,2.5,5,2.5,10,5.0,0,0.0,1,0.5,10,5.0
greenmachine-david,greenmachine,1,0,0.0,0,2,0.0,0.0,2.0,0,0,,0.0,0.0,0,2,0.0,0.0,2.0,0,0,,0.0,0.0,0,1,1,0.0,1.0,1.0,0,0.0,1,1.0,7,7.0,0,0.0,0,0.0,-7,-7.0
greenmachine-iestyn,greenmachine,4,27,6.75,13,39,0.333333333333333,3.25,9.75,1,4,0.25,0.25,1.0,12,35,0.342857142857143,3.0,8.75,0,6,0.0,0.0,1.5,4,20,24,1.0,5.0,6.0,4,1.0,2,0.5,11,2.75,2,0.5,6,1.5,10,2.5
greenmachine-itai,greenmachine,2,29,14.5,13,28,0.464285714285714,6.5,14.0,2,6,0.333333333333333,1.0,3.0,11,22,0.5,5.5,11.0,1,3,0.333333333333333,0.5,1.5,1,9,10,0.5,4.5,5.0,3,1.5,7,3.5,3,1.5,2,1.0,4,2.0,27,13.5
greenmachine-kelli,greenmachine,1,0,0.0,0,0,,0.0,0.0,0,0,,0.0,0.0,0,0,,0.0,0.0,0,0,,0.0,0.0,1,1,2,1.0,1.0,2.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,2,2.0
greenmachine-marina,greenmachine,4,0,0.0,0,10,0.0,0.0,2.5,0,0,,0.0,0.0,0,10,0.0,0.0,2.5,0,0,,0.0,0.0,1,2,3,0.25,0.5,0.75,3,0.75,4,1.0,11,2.75,0,0.0,3,0.75,-14,-3.5
greenmachine-sergio,greenmachine,1,2,2.0,1,2,0.5,1.0,2.0,0,1,0.0,0.0,1.0,1,1,1.0,1.0,1.0,0,3,0.0,0.0,3.0,1,0,1,1.0,0.0,1.0,1,1.0,4,4.0,8,8.0,0,0.0,0,0.0,-4,-4.0
greenmachine-victoria,greenmachine,3,0,0.0,0,5,0.0,0.0,1.66666666666667,0,1,0.0,0.0,0.333333333333333,0,4,0.0,0.0,1.33333333333333,0,0,,0.0,0.0,0,2,2,0.0,0.666666666666667,0.666666666666667,1,0.333333333333333,1,0.333333333333333,5,1.66666666666667,0,0.0,0,0.0,-6,-2.0
kissmygrass-steph,bbcballers,1,2,2.0,1,6,0.166666666666667,1.0,6.0,0,0,,0.0,0.0,1,6,0.166666666666667,1.0,6.0,0,0,,0.0,0.0,2,2,4,2.0,2.0,4.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0
