game_id,team_id,player_id,side_id,opp_team_id,game_version,pts,fgm,fga,fgperc,twoptm,twopta,twoptperc,threeptm,threepta,threeptperc,ftm,fta,ftperc,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,sfc,nsfc,fd,sfd,nsfd,pir,plus_minus_pts,seconds_played,plus_minus_reb,plus_minus_ast,plus_minus_stl,plus_minus_tov,plus_minus_fc,outcome
20191024-1930-greenmachine-northlondonlions,greenmachine,greenmachine-kelli,0,northlondonlions,5300,2,1,3,33.3,1,3,33.3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,3,-8,1561,-2,3,-1,1,-5,d
20191024-1930-greenmachine-northlondonlions,greenmachine,greenmachine-marina,0,northlondonlions,5300,2,1,2,50.0,1,2,50.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,-2,-11,1403,-1,1,-6,5,-2,d
20191024-1930-greenmachine-northlondonlions,greenmachine,rockets-malachi,0,northlondonlions,5300,9,3,3,100.0,3,3,100.0,0,0,0,3,4,75.0,2,2,4,1,1,0,0,0,1,0,1,2,2,0,13,-4,854,4,1,-5,6,-6,d
20191024-1930-greenmachine-northlondonlions,greenmachine,greenmachine-jayd,0,northlondonlions,5300,0,0,4,0,0,3,0,0,1,0,0,0,0,0,3,3,2,1,1,0,1,0,0,0,0,0,0,0,1,846,-1,2,-2,0,-3,d
20191024-1930-greenmachine-northlondonlions,greenmachine,greenmachine-basel,0,northlondonlions,5300,8,4,14,28.6,4,11,36.4,0,3,0,0,0,0,3,4,7,4,4,1,0,0,2,0,2,4,0,4,8,-13,1358,3,0,-4,7,-4,d
20191024-1930-greenmachine-northlondonlions,northlondonlions,northlondonlions-tanky,1,greenmachine,5300,17,7,17,41.2,4,6,66.7,3,11,27.3,0,0,0,1,3,4,5,0,3,0,0,0,0,0,3,0,3,22,11,1609,-2,-2,4,-7,2,w
20191024-1930-greenmachine-northlondonlions,northlondonlions,northlondonlions-kylie,1,greenmachine,5300,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,11,1342,-2,-2,5,-9,1,w
20191024-1930-greenmachine-northlondonlions,northlondonlions,northlondonlions-kat,1,greenmachine,5300,6,3,4,75.0,3,3,100.0,0,1,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,5,13,1215,6,1,4,-1,2,w
20191024-1930-greenmachine-northlondonlions,northlondonlions,northlondonlions-boma,1,greenmachine,5300,23,9,23,39.1,7,13,53.8,2,10,20.0,3,5,60.0,3,10,13,2,2,4,1,0,3,3,0,3,3,0,25,14,1701,1,-3,5,-6,3,w
20191024-1930-greenmachine-northlondonlions,northlondonlions,northlondonlions-tom,1,greenmachine,5300,6,3,4,75.0,3,4,75.0,0,0,0,0,0,0,5,5,10,3,2,0,0,0,3,2,1,1,0,1,14,12,1301,6,0,3,-2,-1,w
20191024-1930-greenmachine-northlondonlions,northlondonlions,northlondonlions-zoey,1,greenmachine,5300,2,1,6,16.7,1,4,25.0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,-2,4,1501,-4,-3,3,-4,6,w
20191024-1930-greenmachine-northlondonlions,northlondonlions,northlondonlions-kenny,1,greenmachine,5300,3,1,6,16.7,0,4,0,1,2,50.0,0,0,0,1,1,2,2,3,1,0,0,4,0,4,0,0,0,-4,8,1511,-5,-1,6,-6,8,w
20191024-2015-camdenhells-rockets,camdenhells,kissmygrass-steph,0,rockets,5400,0,0,1,0,0,0,0,0,1,0,0,2,0,0,2,2,1,2,1,0,0,1,0,1,2,0,2,0,-18,1628,-8,-6,-7,4,1,d
20191024-2015-camdenhells-rockets,camdenhells,lostangels-rob,0,rockets,5400,12,6,7,85.7,6,7,85.7,0,0,0,0,0,0,0,4,4,2,2,0,0,0,3,2,1,1,0,1,13,-16,1836,-6,-5,-8,6,-2,d
20191024-2015-camdenhells-rockets,camdenhells,rockets-malachi,0,rockets,5400,7,2,7,28.6,2,7,28.6,0,0,0,3,5,60.0,2,9,11,0,6,0,1,0,3,1,2,5,3,2,8,-16,1834,-3,-4,-9,6,1,d
20191024-2015-camdenhells-rockets,camdenhells,camdenhells-jess,0,rockets,5400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,1,-1,-16,1422,-1,-2,-13,12,-3,d
20191024-2015-camdenhells-rockets,camdenhells,camdenhells-davidgalindo,0,rockets,5400,7,2,8,25.0,1,5,20.0,1,3,33.3,2,2,100.0,0,0,0,3,3,2,0,0,0,0,0,2,1,1,5,-6,1456,-6,-1,-7,5,0,d
20191024-2015-camdenhells-rockets,camdenhells,lions-kata,0,rockets,5400,3,1,5,20.0,1,4,25.0,0,1,0,1,2,50.0,0,0,0,0,2,1,0,0,4,2,2,1,1,0,-6,-4,1029,-5,0,-2,-2,0,d
20191024-2015-camdenhells-rockets,camdenhells,greenmachine-ahmed,0,rockets,5400,1,0,3,0,0,1,0,0,2,0,1,4,25.0,0,3,3,0,2,1,0,0,3,3,0,3,2,1,-3,-19,994,-6,-2,-9,4,-2,d
20191024-2015-camdenhells-rockets,rockets,rockets-thriston,1,camdenhells,5400,6,3,6,50.0,3,6,50.0,0,0,0,0,0,0,4,2,6,2,2,3,0,0,2,1,1,0,0,0,10,21,1235,3,4,9,-8,-1,w
20191024-2015-camdenhells-rockets,rockets,lostangels-daria,1,camdenhells,5400,9,3,6,50.0,0,1,0,3,5,60.0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,7,20,1337,5,2,7,-5,-2,w
20191024-2015-camdenhells-rockets,rockets,rockets-patricia,1,camdenhells,5400,4,2,3,66.7,2,3,66.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,12,1432,0,2,12,-10,3,w
20191024-2015-camdenhells-rockets,rockets,rockets-marc,1,camdenhells,5400,7,2,7,28.6,2,6,33.3,0,1,0,3,7,42.9,0,3,3,2,4,5,0,0,5,1,4,7,4,3,6,19,1565,4,4,9,-7,0,w
20191024-2015-camdenhells-rockets,rockets,rockets-paul,1,camdenhells,5400,7,3,4,75.0,3,3,100.0,0,1,0,1,2,50.0,2,2,4,1,1,2,0,0,3,2,1,1,1,0,9,6,1135,-1,-1,9,-8,3,w
20191024-2015-camdenhells-rockets,rockets,rockets-alex,1,camdenhells,5400,3,1,6,16.7,0,5,0,1,1,100.0,0,0,0,1,4,5,4,1,1,0,0,1,1,0,0,0,0,6,6,1167,6,2,6,-3,1,w
20191024-2015-camdenhells-rockets,rockets,rockets-darnell,1,camdenhells,5400,6,3,5,60.0,3,5,60.0,0,0,0,0,1,0,3,3,6,1,3,0,0,0,1,1,0,3,1,2,9,5,1012,9,3,0,5,0,w
20191024-2015-camdenhells-rockets,rockets,ringers-yinka,1,camdenhells,5400,7,2,8,25.0,2,8,25.0,0,0,0,3,4,75.0,1,2,3,1,1,3,0,0,1,0,1,3,2,1,8,6,1312,9,4,3,1,1,w
20191031-1845-hotshots-camdenhells,hotshots,hotshots-daniel,0,camdenhells,5070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-12,1336,-15,-6,-4,6,6,d
20191031-1845-hotshots-camdenhells,hotshots,hotshots-weronika,0,camdenhells,5070,3,1,5,20.0,1,5,20.0,0,0,0,1,2,50.0,0,4,4,0,0,0,0,0,1,1,0,1,1,0,2,-18,1551,-14,-11,-2,6,6,d
20191031-1845-hotshots-camdenhells,hotshots,hotshots-martin,0,camdenhells,5070,6,3,9,33.3,3,8,37.5,0,1,0,0,0,0,1,5,6,0,1,0,1,1,2,2,0,1,0,1,4,-10,1476,-9,-5,-2,5,0,d
20191031-1845-hotshots-camdenhells,hotshots,hotshots-sharad,0,camdenhells,5070,2,1,2,50.0,1,1,100.0,0,1,0,0,0,0,0,0,0,1,3,0,1,0,6,4,2,0,0,0,-6,-18,1638,-21,-11,-5,8,6,d
20191031-1845-hotshots-camdenhells,hotshots,dropbears-mary,0,camdenhells,5070,3,1,6,16.7,0,3,0,1,3,33.3,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,-5,-6,1014,-9,-5,-4,4,-3,d
20191031-1845-hotshots-camdenhells,hotshots,burritos-allen,0,camdenhells,5070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,152,0,-1,0,-1,-1,d
20191031-1845-hotshots-camdenhells,hotshots,hotshots-harrison,0,camdenhells,5070,21,8,16,50.0,6,11,54.5,2,5,40.0,3,8,37.5,2,7,9,2,3,1,2,0,4,4,0,6,4,2,21,-19,1941,-22,-11,-4,6,4,d
20191031-1845-hotshots-camdenhells,hotshots,hotshots-marine,0,camdenhells,5070,2,0,3,0,0,3,0,0,0,0,2,2,100.0,2,0,2,5,2,1,0,2,1,0,1,1,1,0,3,-14,1483,-23,-6,-4,6,7,d
20191031-1845-hotshots-camdenhells,camdenhells,camdenhells-sean,1,hotshots,5070,3,1,4,25.0,1,4,25.0,0,0,0,1,2,50.0,2,1,3,5,2,0,0,0,2,2,0,2,1,1,5,12,1090,7,5,2,-4,-3,w
20191031-1845-hotshots-camdenhells,camdenhells,rockets-anna,1,hotshots,5070,8,4,7,57.1,4,7,57.1,0,0,0,0,2,0,1,2,3,0,0,0,0,0,0,0,0,1,1,0,7,0,982,8,3,2,-4,-5,w
20191031-1845-hotshots-camdenhells,camdenhells,rockets-malachi,1,hotshots,5070,26,9,18,50.0,9,18,50.0,0,0,0,8,11,72.7,8,6,14,1,1,0,4,1,1,1,0,7,7,0,37,22,1540,21,11,4,-6,-5,w
20191031-1845-hotshots-camdenhells,camdenhells,greenmachine-ahmed,1,hotshots,5070,0,0,6,0,0,4,0,0,2,0,0,0,0,6,4,10,5,0,2,0,1,2,2,0,0,0,0,8,12,1080,17,8,4,-6,-2,w
20191031-1845-hotshots-camdenhells,camdenhells,lostangels-rob,1,hotshots,5070,13,6,11,54.5,6,11,54.5,0,0,0,1,2,50.0,2,5,7,2,0,1,0,1,1,0,1,1,1,0,16,1,1005,8,2,1,-3,-3,w
20191031-1845-hotshots-camdenhells,camdenhells,lions-alfie,1,hotshots,5070,4,2,6,33.3,2,6,33.3,0,0,0,0,2,0,3,2,5,1,1,2,0,0,0,0,0,1,1,0,6,11,679,11,6,2,-3,0,w
20191031-1845-hotshots-camdenhells,camdenhells,camdenhells-davidgalindo,1,hotshots,5070,2,1,5,20.0,1,4,25.0,0,1,0,0,0,0,0,1,1,3,0,0,0,0,2,0,2,0,0,0,0,7,653,3,5,2,-2,-1,w
20191031-1845-hotshots-camdenhells,camdenhells,lostangels-sophie,1,hotshots,5070,0,0,3,0,0,2,0,0,1,0,0,0,0,0,2,2,3,0,1,1,1,1,1,0,1,0,1,3,23,1382,17,9,4,-5,0,w
