game_id,side_id,team_id,opponent_id,fgm,fga,tpm,tpa,ftm,fta,pts,oreb,dreb,reb,ast,stl,tov,blk,pf,player_id
20190919-2100-lions-greemachine,0,lions,greenmachine,3,11,0,3,1,2,7,2,8,10,2,3,1,2,1,lions-foley
20190919-2100-lions-greemachine,0,lions,greenmachine,7,16,1,3,0,0,15,0,0,0,2,0,4,0,2,lions-kata
20190919-2100-lions-greemachine,0,lions,greenmachine,4,13,1,4,1,2,10,2,9,11,2,4,4,0,2,lions-mychelle
20190919-2100-lions-greemachine,0,lions,greenmachine,1,4,0,0,3,6,5,1,1,2,1,1,1,0,1,lions-telle
20190919-2100-lions-greemachine,1,greenmachine,lions,1,13,0,7,2,3,4,2,5,7,6,3,3,0,2,greenmachine-ahmed
20190919-2100-lions-greemachine,1,greenmachine,lions,5,17,0,0,1,2,11,3,10,13,0,2,1,1,4,greenmachine-alex
20190919-2100-lions-greemachine,1,greenmachine,lions,0,1,0,0,0,0,0,1,1,2,0,0,1,0,0,greenmachine-allison
20190919-2100-lions-greemachine,1,greenmachine,lions,2,5,0,0,0,0,4,1,1,2,1,1,6,0,0,greenmachine-andris
20190919-2100-lions-greemachine,1,greenmachine,lions,6,12,1,2,0,2,13,0,7,7,1,0,2,1,4,greenmachine-iestyn
20190919-2100-lions-greemachine,1,greenmachine,lions,0,3,0,0,0,0,0,1,1,2,1,2,1,0,1,greenmachine-marina
20190926-1845-rockets-greenmachine,0,rockets,greenmachine,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,camdenhells-aimee
20190926-1845-rockets-greenmachine,0,rockets,greenmachine,3,5,1,1,0,2,7,1,4,5,1,2,0,0,4,rockets-alex
20190926-1845-rockets-greenmachine,0,rockets,greenmachine,3,8,0,0,0,0,6,0,1,1,0,2,5,0,1,rockets-anna
20190926-1845-rockets-greenmachine,0,rockets,greenmachine,2,10,0,0,0,0,4,4,2,6,4,7,5,0,1,rockets-janis
20190926-1845-rockets-greenmachine,0,rockets,greenmachine,3,5,0,0,1,2,7,1,6,7,0,2,2,3,1,rockets-malachi
20190926-1845-rockets-greenmachine,0,rockets,greenmachine,7,10,0,1,2,2,16,2,6,8,2,6,2,0,6,rockets-marc
20190926-1845-rockets-greenmachine,0,rockets,greenmachine,2,8,0,1,1,2,5,1,1,2,4,4,1,0,2,rockets-paul
20190926-1845-rockets-greenmachine,1,greenmachine,rockets,1,10,0,0,2,6,4,0,8,8,0,4,3,0,4,greenmachine-alex
20190926-1845-rockets-greenmachine,1,greenmachine,rockets,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,greenmachine-allison
20190926-1845-rockets-greenmachine,1,greenmachine,rockets,0,2,0,0,0,0,0,0,1,1,0,1,7,0,0,greenmachine-david
20190926-1845-rockets-greenmachine,1,greenmachine,rockets,0,8,0,1,0,2,0,2,5,7,0,0,3,1,2,greenmachine-iestyn
