game_id,sequence_number,period_number,period_seconds,side_id,team_id,player_id,shot_points,fg_made,ft_made,points_scored,fouled,assisted,dribbled,outcome,last_passer
20191031-1845-hotshots-camdenhells,678,2,941.05,0,hotshots,hotshots-martin,2,0,0,0,False,False,True,DefensiveRebound,hotshots-marine
20191031-1845-hotshots-camdenhells,687,2,949.8,1,camdenhells,rockets-malachi,2,0,0,0,False,False,False,OffensiveRebound,lions-alfie
20191031-1845-hotshots-camdenhells,693,2,952.32,1,camdenhells,greenmachine-ahmed,3,0,0,0,False,False,False,OffensiveRebound,camdenhells-jess
20191031-1845-hotshots-camdenhells,697,2,957.34,1,camdenhells,rockets-malachi,2,0,0,0,False,False,False,DefensiveRebound,
20191031-1845-hotshots-camdenhells,715,2,976.06,1,camdenhells,rockets-anna,2,1,0,2,False,True,False,TwoPointShotMade,greenmachine-ahmed
20191031-1845-hotshots-camdenhells,728,2,996.43,0,hotshots,hotshots-harrison,3,0,0,0,False,False,False,TeamRebound,hotshots-marine
20191031-1930-greenmachine-burritos,16,1,5.9,0,greenmachine,greenmachine-alex,2,0,0,0,False,False,True,DefensiveRebound,greenmachine-victoria
20191031-1930-greenmachine-burritos,30,1,22.47,1,burritos,burritos-allen,3,0,0,0,False,False,False,DefensiveRebound,burritos-tom
20191031-1930-greenmachine-burritos,38,1,36.96,0,greenmachine,greenmachine-basel,2,0,0,0,False,False,True,DefensiveRebound,greenmachine-jayd
20191031-1930-greenmachine-burritos,49,1,50.77,1,burritos,burritos-alex,2,0,0,0,False,False,False,DefensiveRebound,burritos-tom
20191031-1930-greenmachine-burritos,75,1,90.62,1,burritos,burritos-suzi,2,0,0,0,False,False,False,DefensiveRebound,burritos-allen
20191031-1930-greenmachine-burritos,101,1,145.93,0,greenmachine,greenmachine-alex,2,0,0,0,False,False,False,DefensiveRebound,greenmachine-allison
20191031-1930-greenmachine-burritos,111,1,159.02,1,burritos,burritos-sylwia,2,1,0,2,False,False,True,TwoPointShotMade,burritos-alex
20191031-1930-greenmachine-burritos,118,1,173.61,0,greenmachine,greenmachine-jayd,2,0,0,0,False,False,False,DefensiveRebound,greenmachine-basel
20191031-1930-greenmachine-burritos,126,1,185.99,1,burritos,burritos-alex,2,1,0,2,False,True,False,TwoPointShotMade,burritos-tom
20191031-1930-greenmachine-burritos,145,1,211.47,1,burritos,burritos-alex,2,1,0,2,False,False,True,TwoPointShotMade,burritos-tom
20191031-1930-greenmachine-burritos,157,1,232.64,1,burritos,burritos-wouter,2,1,0,2,False,False,True,TwoPointShotMade,
20191031-1930-greenmachine-burritos,168,1,250.53,0,greenmachine,greenmachine-allison,2,1,0,2,False,True,False,TwoPointShotMade,greenmachine-jayd
20191031-1930-greenmachine-burritos,179,1,262.74,1,burritos,burritos-alex,2,1,0,2,False,False,True,TwoPointShotMade,burritos-tom
20191031-1930-greenmachine-burritos,192,1,289.33,0,greenmachine,greenmachine-jayd,2,0,0,0,False,False,False,DefensiveRebound,greenmachine-basel
20191031-1930-greenmachine-burritos,205,1,308.87,1,burritos,burritos-stuart,3,0,0,0,False,False,False,DefensiveRebound,burritos-wouter
20191031-1930-greenmachine-burritos,219,1,339.86,1,burritos,burritos-sylwia,2,0,0,0,False,False,False,DefensiveRebound,burritos-stuart
20191031-1930-greenmachine-burritos,224,1,344.58,0,greenmachine,greenmachine-basel,2,0,0,0,False,False,True,DefensiveRebound,
20191031-1930-greenmachine-burritos,245,1,370.02,1,burritos,burritos-sylwia,2,1,0,2,False,True,False,TwoPointShotMade,burritos-wouter
20191031-1930-greenmachine-burritos,268,1,409.65,1,burritos,dropbears-mary,3,1,0,3,False,True,False,ThreePointShotMade,burritos-stuart
20191031-1930-greenmachine-burritos,282,1,431.87,0,greenmachine,greenmachine-jayd,3,0,0,0,False,False,False,DefensiveRebound,greenmachine-basel
20191031-1930-greenmachine-burritos,294,1,443.15,1,burritos,burritos-wouter,2,0,0,0,True,False,True,OffensiveRebound,burritos-allen
20191031-1930-greenmachine-burritos,308,1,476.78,1,burritos,burritos-stuart,3,0,0,0,False,False,False,DefensiveRebound,burritos-wouter
20191031-1930-greenmachine-burritos,326,1,500.67,0,greenmachine,greenmachine-ahmed,3,0,0,0,False,False,True,DefensiveRebound,saturdays-jo
20191031-1930-greenmachine-burritos,337,1,515.28,1,burritos,burritos-allen,2,0,0,0,False,False,False,DefensiveRebound,burritos-wouter
20191031-1930-greenmachine-burritos,351,1,533.33,0,greenmachine,greenmachine-ahmed,2,0,0,0,False,False,False,DefensiveRebound,greenmachine-alex
20191031-1930-greenmachine-burritos,359,1,545.21,1,burritos,dropbears-mary,2,0,0,0,False,False,True,OffensiveRebound,burritos-tom
20191031-1930-greenmachine-burritos,372,1,576.08,0,greenmachine,greenmachine-alex,2,0,0,0,False,False,False,OffensiveRebound,greenmachine-jayd
20191031-1930-greenmachine-burritos,414,1,630.39,1,burritos,burritos-suzi,2,0,0,0,False,False,False,DefensiveRebound,burritos-tom
20191031-1930-greenmachine-burritos,428,1,649.58,0,greenmachine,saturdays-jo,3,0,0,0,False,False,False,OffensiveRebound,greenmachine-ahmed
20191031-1930-greenmachine-burritos,432,1,652.94,0,greenmachine,greenmachine-alex,2,1,0,2,False,False,False,TwoPointShotMade,
20191031-1930-greenmachine-burritos,441,1,668.55,1,burritos,burritos-sylwia,2,0,0,0,False,False,False,DefensiveRebound,burritos-stuart
20191031-1930-greenmachine-burritos,452,1,681.26,0,greenmachine,greenmachine-allison,2,0,0,0,False,False,False,DefensiveRebound,greenmachine-ahmed
20191031-1930-greenmachine-burritos,468,1,708.83,1,burritos,burritos-tom,2,0,0,0,False,False,False,DefensiveRebound,burritos-stuart
20191031-1930-greenmachine-burritos,498,1,743.71,1,burritos,dropbears-mary,3,0,0,0,False,False,False,OffensiveRebound,burritos-wouter
20191031-1930-greenmachine-burritos,502,1,746.42,1,burritos,burritos-alex,2,1,0,2,False,False,False,TwoPointShotMade,
20191031-1930-greenmachine-burritos,518,1,777.1,1,burritos,dropbears-mary,2,0,0,0,False,False,False,OffensiveRebound,burritos-alex
20191031-1930-greenmachine-burritos,524,1,783.95,1,burritos,burritos-wouter,2,0,1,1,True,True,False,FreeThrowMade,
20191031-1930-greenmachine-burritos,556,1,838.58,0,greenmachine,greenmachine-basel,2,0,0,0,False,False,False,DefensiveRebound,greenmachine-allison
20191031-1930-greenmachine-burritos,568,1,848.24,1,burritos,burritos-alex,3,0,0,0,False,False,False,OffensiveRebound,burritos-wouter
20191031-1930-greenmachine-burritos,573,1,856.77,1,burritos,dropbears-mary,2,0,1,1,True,True,False,DefensiveRebound,burritos-tom
20191031-1930-greenmachine-burritos,599,1,900.82,0,greenmachine,greenmachine-basel,2,1,0,2,False,False,True,TwoPointShotMade,greenmachine-ahmed
20191031-1930-greenmachine-burritos,607,1,911.58,1,burritos,burritos-wouter,2,1,0,2,False,False,True,TwoPointShotMade,burritos-tom
20191031-1930-greenmachine-burritos,617,1,924.95,0,greenmachine,greenmachine-jayd,2,0,0,0,False,False,True,DefensiveRebound,greenmachine-basel
20191031-1930-greenmachine-burritos,627,1,937.6,1,burritos,burritos-wouter,2,1,0,2,False,False,True,TwoPointShotMade,burritos-tom
20191031-1930-greenmachine-burritos,634,1,949.41,0,greenmachine,greenmachine-ahmed,3,0,0,0,False,False,False,OffensiveRebound,greenmachine-basel
20191031-1930-greenmachine-burritos,642,1,968.14,0,greenmachine,greenmachine-jayd,2,1,0,2,False,True,False,TwoPointShotMade,greenmachine-basel
20191031-1930-greenmachine-burritos,675,1,1007.54,1,burritos,burritos-suzi,2,1,0,2,False,False,True,TwoPointShotMade,burritos-alex
20191031-1930-greenmachine-burritos,682,1,1017.79,0,greenmachine,greenmachine-basel,2,0,0,0,False,False,True,OffensiveRebound,greenmachine-jayd
20191031-1930-greenmachine-burritos,686,1,1020.0,0,greenmachine,greenmachine-alex,2,0,0,0,False,False,False,DefensiveRebound,
20191031-1930-greenmachine-burritos,81,2,11.57,1,burritos,burritos-stuart,3,0,0,0,False,False,False,DefensiveRebound,burritos-sylwia
20191031-1930-greenmachine-burritos,105,2,43.32,1,burritos,burritos-allen,3,0,0,0,False,False,False,OffensiveRebound,burritos-suzi
20191031-1930-greenmachine-burritos,109,2,47.32,1,burritos,burritos-alex,2,1,0,2,False,False,False,TwoPointShotMade,
20191031-1930-greenmachine-burritos,130,2,81.41,1,burritos,burritos-stuart,3,0,0,0,False,False,False,DefensiveRebound,burritos-allen
20191031-1930-greenmachine-burritos,145,2,108.01,1,burritos,burritos-alex,2,0,0,0,False,False,True,OffensiveRebound,burritos-suzi
20191031-1930-greenmachine-burritos,149,2,110.31,1,burritos,burritos-allen,2,0,0,0,False,False,False,DefensiveRebound,
20191031-1930-greenmachine-burritos,164,2,132.24,1,burritos,burritos-alex,3,0,0,0,False,False,False,DefensiveRebound,burritos-sylwia
20191031-1930-greenmachine-burritos,175,2,147.63,0,greenmachine,greenmachine-basel,3,1,0,3,False,True,False,ThreePointShotMade,greenmachine-jayd
20191031-1930-greenmachine-burritos,185,2,165.6,1,burritos,burritos-alex,2,0,0,0,False,False,True,DefensiveRebound,burritos-stuart
20191031-1930-greenmachine-burritos,222,2,220.54,1,burritos,dropbears-mary,2,0,0,0,False,False,True,DefensiveRebound,burritos-alex
20191031-1930-greenmachine-burritos,232,2,235.84,0,greenmachine,greenmachine-jayd,2,0,0,0,False,False,False,DefensiveRebound,saturdays-jo
20191031-1930-greenmachine-burritos,238,2,243.94,1,burritos,burritos-stuart,3,0,0,0,False,False,False,DefensiveRebound,burritos-wouter
20191031-1930-greenmachine-burritos,246,2,254.97,1,burritos,burritos-stuart,2,0,2,2,True,False,True,FreeThrowMade,
20191031-1930-greenmachine-burritos,261,2,292.41,0,greenmachine,greenmachine-jayd,3,0,0,0,False,False,False,DefensiveRebound,greenmachine-alex
20191031-1930-greenmachine-burritos,280,2,320.14,0,greenmachine,greenmachine-jayd,2,0,0,0,False,False,False,DefensiveRebound,greenmachine-basel
20191031-1930-greenmachine-burritos,289,2,331.81,1,burritos,burritos-stuart,3,0,0,0,False,False,True,DefensiveRebound,burritos-tom
20191031-1930-greenmachine-burritos,298,2,347.51,0,greenmachine,greenmachine-jayd,3,0,0,0,False,False,False,DefensiveRebound,greenmachine-basel
20191031-1930-greenmachine-burritos,305,2,365.16,1,burritos,burritos-wouter,2,0,2,2,True,True,False,FreeThrowMade,burritos-sylwia
20191031-1930-greenmachine-burritos,326,2,407.58,1,burritos,burritos-tom,3,0,0,0,False,False,False,DefensiveRebound,burritos-allen
20191031-1930-greenmachine-burritos,337,2,418.7,0,greenmachine,greenmachine-alex,2,0,0,0,False,False,True,OffensiveRebound,greenmachine-ahmed
20191031-1930-greenmachine-burritos,342,2,421.38,0,greenmachine,greenmachine-alex,2,0,0,0,False,False,False,OffensiveRebound,
20191031-1930-greenmachine-burritos,352,2,433.85,0,greenmachine,greenmachine-ahmed,2,0,0,0,False,False,False,DefensiveRebound,greenmachine-alex
