game_id,team_id,side_id,possession_id,first_event_id,first_event_type,first_player_id,first_on_court_player_id,cause_type,resolution_type,resolution_is_turnover,last_player_id,points_scored,opp_points_scored_next,second_chance_points,is_after_turnover,passes,players_involved,oreb,true_fga,true_3pa,fta,p1,p2,p3,p4,p5,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5
20191031-1845-hotshots-camdenhells,camdenhells,1,36,ed60399b-87e7-4243-b012-1bfbce0c2a2b,PlayerControl,lostangels-rob,lostangels-rob,ThreePointShotMissed,DefensiveRebound,False,camdenhells-davidgalindo,0,0,0,False,2,3,0,1,0,0,lostangels-sophie,camdenhells-jess,lostangels-rob,camdenhells-davidgalindo,camdenhells-sean,hotshots-sharad,hotshots-harrison,hotshots-weronika,hotshots-marine,
20191031-1845-hotshots-camdenhells,hotshots,0,37,c25d41db-e0d2-44ca-bb72-6b148b232272,ThrowIn,hotshots-daniel,hotshots-sharad,DefensiveRebound,TwoPointShotMissed,False,hotshots-weronika,0,2,0,False,5,3,0,1,0,0,hotshots-sharad,hotshots-harrison,hotshots-weronika,hotshots-marine,hotshots-daniel,lostangels-sophie,camdenhells-jess,lostangels-rob,camdenhells-davidgalindo,camdenhells-sean
20191031-1845-hotshots-camdenhells,camdenhells,1,38,d4b8cda7-d06b-418c-8cc5-cd233919fd48,PlayerControl,lostangels-rob,lostangels-rob,TwoPointShotMissed,TwoPointShotMade,False,lostangels-rob,2,0,0,False,3,3,0,1,0,0,lostangels-sophie,camdenhells-jess,lostangels-rob,camdenhells-davidgalindo,camdenhells-sean,hotshots-sharad,hotshots-harrison,hotshots-weronika,hotshots-marine,hotshots-daniel
20191031-1845-hotshots-camdenhells,hotshots,0,39,209a8610-f566-4607-bf99-c65e0b6e448e,ThrowIn,hotshots-harrison,hotshots-sharad,TwoPointShotMade,TwoPointShotMissed,False,hotshots-weronika,0,1,0,False,2,2,0,1,0,0,hotshots-sharad,hotshots-harrison,hotshots-weronika,hotshots-marine,hotshots-daniel,lostangels-sophie,camdenhells-jess,lostangels-rob,camdenhells-davidgalindo,camdenhells-sean
20191031-1845-hotshots-camdenhells,camdenhells,1,40,9857a021-0348-451d-96ad-2ea9087020aa,PlayerControl,lostangels-sophie,lostangels-sophie,TwoPointShotMissed,FreeThrowMade,False,camdenhells-sean,1,0,0,False,3,2,0,1,0,2,lostangels-sophie,camdenhells-jess,lostangels-rob,camdenhells-davidgalindo,camdenhells-sean,hotshots-sharad,hotshots-harrison,hotshots-weronika,hotshots-daniel,dropbears-mary
20191031-1845-hotshots-camdenhells,hotshots,0,41,296e4f11-e2ac-4621-a082-b9554998e220,ThrowIn,hotshots-weronika,hotshots-harrison,FreeThrowMade,TwoPointShotMissed,False,hotshots-harrison,0,0,0,False,1,1,0,1,0,0,hotshots-sharad,hotshots-harrison,hotshots-weronika,hotshots-daniel,dropbears-mary,lostangels-sophie,camdenhells-jess,lostangels-rob,camdenhells-davidgalindo,camdenhells-sean
20191031-1845-hotshots-camdenhells,camdenhells,1,42,b34b9fc3-ce61-410f-87eb-e92e65702ae2,PlayerControl,lostangels-rob,lostangels-rob,TwoPointShotMissed,TwoPointShotMissed,False,camdenhells-jess,0,3,0,False,2,3,0,1,0,0,lostangels-sophie,camdenhells-jess,lostangels-rob,camdenhells-davidgalindo,camdenhells-sean,hotshots-sharad,hotshots-harrison,hotshots-weronika,hotshots-daniel,dropbears-mary
20191031-1845-hotshots-camdenhells,hotshots,0,43,eeffcb45-51c7-4b8d-a381-613c7b5ae41d,PlayerControl,hotshots-martin,hotshots-martin,TwoPointShotMissed,ThreePointShotMade,False,dropbears-mary,3,0,0,False,2,3,0,1,1,0,hotshots-harrison,hotshots-weronika,hotshots-daniel,dropbears-mary,hotshots-martin,lostangels-sophie,camdenhells-jess,lostangels-rob,camdenhells-davidgalindo,camdenhells-sean
20191031-1845-hotshots-camdenhells,camdenhells,1,44,a2fc996b-eb35-4af2-9db8-0d0c09916184,ThrowIn,lostangels-sophie,camdenhells-sean,ThreePointShotMade,TwoPointShotMissed,False,lostangels-rob,0,2,0,False,2,2,0,1,0,0,lostangels-sophie,camdenhells-jess,lostangels-rob,camdenhells-davidgalindo,camdenhells-sean,hotshots-harrison,hotshots-weronika,hotshots-daniel,dropbears-mary,hotshots-martin
20191031-1845-hotshots-camdenhells,hotshots,0,45,fd68d746-c72e-48e8-87e7-4067e4dabc31,PlayerControl,hotshots-weronika,hotshots-weronika,TwoPointShotMissed,TwoPointShotMade,False,hotshots-harrison,2,0,0,False,3,2,0,1,0,0,hotshots-harrison,hotshots-weronika,hotshots-daniel,dropbears-mary,hotshots-martin,lostangels-sophie,camdenhells-jess,lostangels-rob,camdenhells-davidgalindo,camdenhells-sean
20191031-1845-hotshots-camdenhells,camdenhells,1,46,46af7149-630f-4b59-9786-2cb741ec81c9,ThrowIn,lostangels-sophie,camdenhells-sean,TwoPointShotMade,TwoPointShotMissed,False,lostangels-rob,0,0,0,False,2,2,0,1,0,0,lostangels-sophie,camdenhells-jess,lostangels-rob,camdenhells-davidgalindo,camdenhells-sean,hotshots-harrison,hotshots-weronika,hotshots-daniel,dropbears-mary,hotshots-martin
20191031-1845-hotshots-camdenhells,hotshots,0,47,4670bed7-bd00-40bd-85d7-d5b96ee724a0,PlayerControl,hotshots-weronika,hotshots-weronika,TwoPointShotMissed,TwoPointShotMissed,False,dropbears-mary,0,0,0,False,1,2,0,1,0,0,hotshots-harrison,hotshots-weronika,hotshots-daniel,dropbears-mary,hotshots-martin,lostangels-sophie,camdenhells-jess,lostangels-rob,camdenhells-davidgalindo,camdenhells-sean
20191031-1845-hotshots-camdenhells,camdenhells,1,48,d002381b-5f17-437b-b14e-7d43a34bcb95,PlayerControl,rockets-anna,rockets-anna,TwoPointShotMissed,TwoPointShotMissed,False,rockets-anna,0,2,0,False,0,1,0,1,0,0,camdenhells-jess,lostangels-rob,camdenhells-davidgalindo,camdenhells-sean,rockets-anna,hotshots-harrison,hotshots-weronika,hotshots-daniel,dropbears-mary,hotshots-martin
20191031-1845-hotshots-camdenhells,hotshots,0,49,f8a54e28-301d-434b-aa6e-81fd95267a9c,PlayerControl,hotshots-weronika,hotshots-weronika,TwoPointShotMissed,TwoPointShotMade,False,hotshots-martin,2,3,0,False,2,3,0,1,0,0,hotshots-harrison,hotshots-weronika,hotshots-daniel,dropbears-mary,hotshots-martin,camdenhells-jess,camdenhells-davidgalindo,camdenhells-sean,rockets-anna,rockets-malachi
