id,game_id,team_id,player_id,type,utc_time,period_number,period_seconds,allows_annotation,is_main,sequence_number,parent_id,comment
da6f09de-e584-4068-8376-b2c6e97bc651,20190926-2015-burritos-dropbears,burritos,burritos-alex,DefensiveRebound,2019-09-28 14:34:15.154727,,,,1,321,8fe46924-7875-4cfd-9a6c-5029690efc7d,
da857979-77fb-4bf3-ac90-9a5d12e4e4cf,20190926-1845-rockets-greenmachine,greenmachine,greenmachine-alex,ShootingFoul,2019-09-28 22:38:10.131851,,,,1,328,3b5dbb99-1677-4c72-bfdb-0bec7ca5d7ce,
da9209eb-ed71-4350-97d2-3c2f2142c91b,20190919-2100-lions-greenmachine,lions,lions-mychelle,Turnover,2019-09-29 12:59:28.216298,,,,1,23,0ed6de68-3831-4e2b-9742-c0df7d5f23b8,
dac12869-00c9-470a-80d2-a29915ae64d3,20190919-1845-burritos-bbcballers,bbcballers,bbcballers-saulius,TwoPointShotMade,2019-09-29 12:42:18.541503,,,,1,276,459eb65a-1478-458b-bf1e-8be7fadf4199,60 - 30
dada3110-1319-4815-895c-4df9c7133a85,20190926-1845-rockets-greenmachine,rockets,rockets-paul,OffensiveRebound,2019-09-28 22:01:47.028280,,,,1,79,f8a9eac3-b922-4036-8b92-04446b3c2111,
daddba51-31d7-4041-8da6-ca683d7a030d,20190919-1845-burritos-bbcballers,burritos,burritos-allen,OffensiveRebound,2019-09-29 12:15:23.305411,,,,1,53,2e6e6c7b-c0ea-4197-8f24-7c8fd952d66d,
db067358-e836-49bd-b7cc-06fe8063454a,20190919-2100-lions-greenmachine,greenmachine,greenmachine-ahmed,Steal,2019-09-29 12:59:30.485884,,,,1,24,da9209eb-ed71-4350-97d2-3c2f2142c91b,
db0c796a-e349-4817-aafd-f76c0696026e,20190926-2100-lostangels-lions,lostangels,saturdays-claire,TwoPointShotMissed,2019-09-28 20:07:26.932048,,,,1,296,a1a9788d-0c4c-432c-92f8-4f892e933f8c,
db1b1f78-b5fa-4aa9-b4a5-8323d77075d8,20190926-2015-burritos-dropbears,burritos,burritos-suzi,AutoSubstitutionOn,2019-09-28 14:03:00.786344,,,,,155,dbb5a0c6-388a-44c8-a7fb-ad173a50cde2,
db3ca52e-3944-4b59-92d1-4f70dc4c81eb,20190926-1845-rockets-greenmachine,rockets,rockets-malachi,TwoPointShotMissed,2019-09-28 22:43:17.189520,,,,1,367,a9d1e5cc-481d-457c-8921-956ed45ce2bc,
db4afd39-974b-4f83-b615-c2b6d418ef98,20190919-2100-lions-greenmachine,greenmachine,greenmachine-marina,TwoPointShotMissed,2019-09-29 13:24:56.756880,,,,1,227,7944af20-e5e6-430b-ac3a-2d3a469cae40,
db51b842-60b2-4cb6-b05f-b16370848abb,20190926-2015-burritos-dropbears,burritos,burritos-wouter,TwoPointShotMissed,2019-09-28 14:33:47.491658,,,,1,316,646850df-f977-4bb0-b9c5-6889039cae2f,
db5a9c69-48d0-4ee9-a706-8a3784a13c37,20190919-2100-lions-greenmachine,greenmachine,greenmachine-alex,TwoPointShotMissed,2019-09-29 13:21:14.091945,,,,1,195,9129b85e-4013-4208-b881-83233647403d,
db817813-f655-440b-a5ac-c07e4ce14337,20190919-1845-burritos-bbcballers,burritos,burritos-sylwia,TwoPointShotMade,2019-09-29 12:37:55.837460,,,,1,235,62a1a939-ce02-40a5-9169-1a3cd343e94a,55 - 28
db909c19-9900-4827-a869-522caeb706db,20190919-2100-lions-greenmachine,lions,lions-foley,DefensiveRebound,2019-09-29 13:22:04.763410,,,,1,201,1ed53b3d-19dd-4f65-8ff9-1ecdaf90065a,
db96e2fb-5632-469e-ad88-fdfb017d5a1e,20190919-1845-burritos-bbcballers,burritos,burritos-suzi,Turnover,2019-09-29 12:28:05.766391,,,,1,143,fe16bb3f-512f-4194-96b9-c21566cc386f,
dbab7128-cd80-42c1-a527-b62adf9e1a1d,20190919-1845-burritos-bbcballers,burritos,burritos-tom,OffensiveRebound,2019-09-29 12:34:57.379263,,,,1,206,62729248-6c77-4a87-8223-a5b029483568,
dbb5a0c6-388a-44c8-a7fb-ad173a50cde2,20190926-2015-burritos-dropbears,burritos,burritos-suzi,ThreePointShotMissed,2019-09-28 14:03:00.785794,,,,1,154,4e0b9df4-61b3-4d00-83da-8cecd6bb39e5,
dbc71f13-b095-4686-a464-364c8e3b0d2e,20190926-2015-burritos-dropbears,burritos,burritos-stuart,ThreePointShotMissed,2019-09-28 14:00:13.410892,,,,1,138,084603e3-3665-4fbc-892b-e3a2228d9b9b,
dbfc2f87-92cc-4e86-b550-d8279b5a0519,20190926-2015-burritos-dropbears,burritos,burritos-stuart,ThreePointShotMade,2019-09-28 14:21:31.965776,,,,1,239,888f6fdf-55f3-425c-b3c8-05bbbdf1b9d7,36 - 26
dc399cdf-b2fd-4b8c-8788-025f469a9b14,20190926-1845-rockets-greenmachine,rockets,rockets-malachi,AutoSubstitutionOn,2019-09-28 22:32:36.935267,,,,,289,21544db5-c721-453b-a531-f025abb62bca,
dc6dfc19-cc84-4548-8320-23144e1b1860,20190919-1845-burritos-bbcballers,bbcballers,bbcballers-lisa,TwoPointShotMissed,2019-09-29 12:12:01.812259,,,,1,32,95bae6aa-6c99-4eed-8b10-adcca03f574e,
dc9380c0-f63c-4f65-9a52-55c41528c19e,20190926-2015-burritos-dropbears,burritos,burritos-suzi,AutoSubstitutionOn,2019-09-28 13:45:27.323959,,,,,71,6cc157b6-57e8-4d2b-846e-9586457da6e0,
dc9fc637-e904-4818-843a-836dc4be9f35,20190919-1845-burritos-bbcballers,bbcballers,bbcballers-saulius,DefensiveRebound,2019-09-29 12:24:04.208930,,,,1,116,fbb4fb3f-33de-4009-803e-8cfe57b220df,
dcaa6114-1331-4c2f-b06f-31da82284e82,20190926-2100-lostangels-lions,lions,lions-gus,TwoPointShotMissed,2019-09-28 19:23:23.648896,,,,1,72,7bcad712-245b-407f-8f39-a8472ff238af,
dcbb55ae-6f75-4ad8-a136-5983e8a51002,20190926-1845-rockets-greenmachine,rockets,rockets-paul,TwoPointShotMissed,2019-09-28 22:40:40.103402,,,,1,351,f3070f2c-25f4-4cff-a0de-ad474147d7ad,
dcec914f-4a4d-46c9-9ae7-924cc56c202f,20190926-2100-lostangels-lions,lions,lions-mychelle,TwoPointShotMissed,2019-09-28 19:33:08.100379,,,,1,123,67736f9b-e8c3-4c12-8f0c-61cc973edd10,
dd09d199-0214-4a27-b8fa-46529ed714fa,20190926-2100-lostangels-lions,lostangels,lostangels-rolands,AutoSubstitutionOn,2019-09-28 20:17:26.788137,,,,,330,6fe5563b-4d0d-42a9-8781-fd92bc13fe30,
dd0d1fad-5942-40cd-9229-ee92c90d9cf4,20190926-2015-burritos-dropbears,dropbears,dropbears-ray,TwoPointShotMade,2019-09-28 13:55:02.936427,,,,1,112,161233ee-9a8d-49e4-9505-196a7b40d541,13 - 8
dd1fc73a-36d4-4a73-8a26-9e9e69d74775,20190926-2100-lostangels-lions,lions,lions-mychelle,TwoPointShotMissed,2019-09-28 19:52:51.465269,,,,1,220,caec1d59-06d2-4ba0-ab48-9ab7a325b7b2,
